doc_id,mention_count,inferred_status,source_conversation_uuids,sample_context
CST8182,17,referenced,058fa9f6-21ca-4aa8-b143-2629ed178b64; 0edf1885-18bb-4795-b648-bc2132bef2da; 12d65c42-c587-433d-a7e9-56259b79fb2b; 12edd973-84e6-4533-b2e4-57a7ef024237; 244b9f4e-37b6-4847-a563-9d9f9c6b44bc; 380750c0-f54e-47b8-a40b-2feed17a24c1; 3cbd5740-e40b-430e-b901-7a91a6d09f2c; 3f5ca7e9-4f80-44bd-980f-eeb4e94eac89; 50e1dd42-840b-47c1-8f9f-4afa2f5e9b64; 80669f90-3e7c-4a04-8c11-715ba72cc7cd; a5088a81-2f8d-487b-993f-c266d2a1c79a; a71e393b-84ee-4a3b-91b7-09a2b4106f54; abf7025b-7fff-4bc9-ae13-f7dc494f5539; d982d7b9-684b-499e-b32c-f66fcf888b22; e86f7495-450c-42c7-9d2b-a1ed9f756078; ecec0e9f-aef6-49dd-8c6f-408b9ff0866d; f94a0126-9c0a-45ee-910f-e559efb331e5,"workouts, and other activities as recurring weekly events. I've created a comprehensive ICS calendar file based on your detailed weekly schedule! This file includes:  **✅ All Your Classes & Labs:** - "
CST8200,12,referenced,058fa9f6-21ca-4aa8-b143-2629ed178b64; 0b4c96a1-4b58-460e-bf22-b52fb620503f; 1d87c741-469a-42cd-a427-2182a5784b40; 212a938e-06bb-4a86-a736-b39ec3c4fef2; 232472a1-8199-4535-8e32-3488947bfd47; 3f5ca7e9-4f80-44bd-980f-eeb4e94eac89; 43e1390e-1e45-44d1-a065-7a5854aee9a7; 7b804c2c-7e85-4177-b138-1d77da96af89; a34d5dfc-49ca-4164-a8f5-8314f09787d0; bb6a567f-9723-4cc7-8412-8b47d653679b; bca675ef-e8d1-4005-8231-ab35cc8b62db; fc99aa3d-f993-404c-8aee-09bc55305583,"ed in the hours, which pulled your GPA down. Without the W, your GPA on the graded courses would be approximately **3.03** (722.4 ÷ 238.0 hours).  For your **Level 02 courses** currently in progress ("
CST8202,25,referenced,058fa9f6-21ca-4aa8-b143-2629ed178b64; 12edd973-84e6-4533-b2e4-57a7ef024237; 244b9f4e-37b6-4847-a563-9d9f9c6b44bc; 380750c0-f54e-47b8-a40b-2feed17a24c1; 3cbd5740-e40b-430e-b901-7a91a6d09f2c; 3f5ca7e9-4f80-44bd-980f-eeb4e94eac89; 4035f032-cbd9-4925-94ff-d4143ad5b5d5; 50e1dd42-840b-47c1-8f9f-4afa2f5e9b64; 65f32a0c-603e-4d84-935b-7db3018dc56f; 7ddedc37-8f19-4292-b50c-b1f2aae14751; 80669f90-3e7c-4a04-8c11-715ba72cc7cd; 83038cf2-5b23-43db-a207-315f7cc079eb; 8990bf50-c84c-41ca-ab9a-05b4a960aed8; 8bc15e2f-d8f2-49aa-8e23-11ca30222b74; 998cd31c-7e6c-41f1-99cd-477f596b515a; a5088a81-2f8d-487b-993f-c266d2a1c79a; a71e393b-84ee-4a3b-91b7-09a2b4106f54; abf7025b-7fff-4bc9-ae13-f7dc494f5539; c40a54de-b149-4bf6-a723-375b62cdf09d; d90a1f60-1257-44bc-a02e-b2216f428e6a; d982d7b9-684b-499e-b32c-f66fcf888b22; ecec0e9f-aef6-49dd-8c6f-408b9ff0866d; f61cc62d-626b-4418-b759-755873cf5718; fa8c85ce-e371-460a-99e4-dc9e86c1297d; ff74b040-14fb-4a02-afe0-00665b8436b1,detailed weekly schedule! This file includes:  **✅ All Your Classes & Labs:** - CST8182 (Networking Fundamentals) - Theory & Lab sessions - CST8207 (Linux System Support) - Theory & Lab sessions   - C
CST8206,2,complete,058fa9f6-21ca-4aa8-b143-2629ed178b64; 3cbd5740-e40b-430e-b901-7a91a6d09f2c,"**  Removing co-op components, your remaining courses are:  | Level | Course | Hours | |---|---|---| | 02 | CST8200, CST8208, CST8305, CST8315, CST8324 | 294.0 | | 02 | LIB1982 Gen Ed | 42.0 | | 03 | "
CST8207,16,referenced,058fa9f6-21ca-4aa8-b143-2629ed178b64; 0b4c96a1-4b58-460e-bf22-b52fb620503f; 12edd973-84e6-4533-b2e4-57a7ef024237; 380750c0-f54e-47b8-a40b-2feed17a24c1; 3cbd5740-e40b-430e-b901-7a91a6d09f2c; 3f5ca7e9-4f80-44bd-980f-eeb4e94eac89; 50e1dd42-840b-47c1-8f9f-4afa2f5e9b64; 80669f90-3e7c-4a04-8c11-715ba72cc7cd; 83038cf2-5b23-43db-a207-315f7cc079eb; 8990bf50-c84c-41ca-ab9a-05b4a960aed8; a5088a81-2f8d-487b-993f-c266d2a1c79a; a71e393b-84ee-4a3b-91b7-09a2b4106f54; abf7025b-7fff-4bc9-ae13-f7dc494f5539; d982d7b9-684b-499e-b32c-f66fcf888b22; ecec0e9f-aef6-49dd-8c6f-408b9ff0866d; f61cc62d-626b-4418-b759-755873cf5718,'ve created a comprehensive ICS calendar file based on your detailed weekly schedule! This file includes:  **✅ All Your Classes & Labs:** - CST8182 (Networking Fundamentals) - Theory & Lab sessions - 
CST8208,5,referenced,058fa9f6-21ca-4aa8-b143-2629ed178b64; 232472a1-8199-4535-8e32-3488947bfd47; 5c42ba92-3569-4554-87c7-79a04afb5973; b73ff3c0-caf9-40bb-9dfd-186a00baf73a; cbbdfa5e-98e9-48ce-bc08-99b45de0fa69,"hours, which pulled your GPA down. Without the W, your GPA on the graded courses would be approximately **3.03** (722.4 ÷ 238.0 hours).  For your **Level 02 courses** currently in progress (CST8200, C"
CST8245,1,referenced,3f5ca7e9-4f80-44bd-980f-eeb4e94eac89,"in Networking but *Emerging Technologies* in Security; CST8323 *Cyber and Network Security* is the Networking version of CST8249 *Network Security*; and the database course is DAT0129 in Networking, C"
CST8246,1,referenced,058fa9f6-21ca-4aa8-b143-2629ed178b64,"ing co-op components, your remaining courses are:  | Level | Course | Hours | |---|---|---| | 02 | CST8200, CST8208, CST8305, CST8315, CST8324 | 294.0 | | 02 | LIB1982 Gen Ed | 42.0 | | 03 | CST8206, "
CST8248,2,referenced,058fa9f6-21ca-4aa8-b143-2629ed178b64; 3f5ca7e9-4f80-44bd-980f-eeb4e94eac89,"Course | Hours | |---|---|---| | 02 | CST8200, CST8208, CST8305, CST8315, CST8324 | 294.0 | | 02 | LIB1982 Gen Ed | 42.0 | | 03 | CST8206, CST8246, CST8316, CST8342, CST8371, DAT0129 | 336.0 | | 04 | "
CST8249,1,referenced,3f5ca7e9-4f80-44bd-980f-eeb4e94eac89,t** and flagged them inline — CST8248 is *Cloud Infrastructure Administration* in Networking but *Emerging Technologies* in Security; CST8323 *Cyber and Network Security* is the Networking version of 
