path:ID(DocSpec),title
DC-AGENT-CREDENTIAL-001.md,DC-AGENT-CREDENTIAL-001: Agent-Class DID Credential
DC-AGENT-OBSERVABILITY-001.md,DC-AGENT-OBSERVABILITY-001: Real-Time Multi-Tier Agent Monitoring
DC-BLOCKCHAIN-EDUCATION-FEDERATION-RECONCILED-001.md,"DC-BLOCKCHAIN-EDUCATION-FEDERATION-RECONCILED-001 — Blockchain-Integrated Educational Federation (Haiti), Consolidated (v1, generated 2026-09-05)"
DC-CHOPSHOP-PROJECT-DOCUMENTATION-RECONCILED-001.md,"DC-CHOPSHOP-PROJECT-DOCUMENTATION-RECONCILED-001 — ChopShop-CLI Project Documentation, Consolidated (v1, generated 2026-09-05)"
DC-CIVIC-DIVIDEND-001.md,DC-CIVIC-DIVIDEND-001: CivicDividendModule (Lakou Module Interface Standard)
DC-CIVIC-EDUCATION-001.md,DC-CIVIC-EDUCATION-001: Civic Competency Framework on D-Central Primitives
DC-CIVICMESH-FEDERATION-NOC-MUNICIPAL-RECONCILED-001.md,"DC-CIVICMESH-FEDERATION-NOC-MUNICIPAL-RECONCILED-001 — CivicMesh Federation, NOC & Municipal Deployment, Consolidated (v1, generated 2026-09-05)"
DC-CM-AUDIT-TRANSPARENCY-RECONCILED-001.md,"DC-CM-AUDIT-TRANSPARENCY-RECONCILED-001 — CivicMesh Governance Audit & Transparency, Consolidated (v1, generated 2026-09-05)"
DC-CM-COMMERCIAL-B2B-VEHICLE-FLEET-RECONCILED-001.md,"DC-CM-COMMERCIAL-B2B-VEHICLE-FLEET-RECONCILED-001 — CivicMesh Commercial Vehicle Network (B2B Fleet) Programme, Consolidated (v1, generated 2026-09-05)"
DC-CM-COMPETITIVE-RECONCILED-001.md,"DC-CM-COMPETITIVE-RECONCILED-001 — CivicMesh Competitive Positioning, Consolidated (v1, generated 2026-09-05)"
DC-CM-COOP-FINANCE-RECONCILED-001.md,"DC-CM-COOP-FINANCE-RECONCILED-001 — CivicMesh Cooperative Finance & Regulatory Compliance, Consolidated (v1, generated 2026-09-05)"
DC-CM-COOP-LEGAL-RECONCILED-001.md,"DC-CM-COOP-LEGAL-RECONCILED-001 — CivicMesh Cooperative Legal Structures, Consolidated (v1, generated 2026-09-05)"
DC-CM-GOV-FUNDING-RECONCILED-001.md,"DC-CM-GOV-FUNDING-RECONCILED-001 — CivicMesh Government Funding Applications, Consolidated (v1, generated 2026-09-05)"
DC-CM-INVESTOR-PITCH-RECONCILED-001.md,"DC-CM-INVESTOR-PITCH-RECONCILED-001 — CivicMesh Investor Pitch Decks, Consolidated (v1, generated 2026-09-05)"
DC-CM-ISC-LOAN-RECONCILED-001.md,"DC-CM-ISC-LOAN-RECONCILED-001 — CivicMesh ISC Grant Application Framework, Consolidated (v1, generated 2026-09-05)"
DC-CM-MITACS-RECONCILED-001.md,"DC-CM-MITACS-RECONCILED-001 — CivicMesh Mitacs Accelerate Applications, Consolidated (v1, generated 2026-09-05)"
DC-CM-NOC-DASHBOARD-RECONCILED-001.md,"DC-CM-NOC-DASHBOARD-RECONCILED-001 — CivicMesh NOC & Manager Dashboard Specifications, Consolidated (v1, generated 2026-09-05)"
DC-CM-OFFICER-PORTAL-RECONCILED-001.md,"DC-CM-OFFICER-PORTAL-RECONCILED-001 — CivicMesh Officer Portal & Municipal Training, Consolidated (v1, generated 2026-09-05)"
DC-CM-PARTNER-INCENTIVES-RECONCILED-001.md,"DC-CM-PARTNER-INCENTIVES-RECONCILED-001 — CivicMesh Partner & Government Incentive Programmes, Consolidated (v1, generated 2026-09-05)"
DC-CM-SECURITY-RESPONSE-RECONCILED-001.md,"DC-CM-SECURITY-RESPONSE-RECONCILED-001 — CivicMesh Security Response Ops & Training, Consolidated (v1, generated 2026-09-05)"
DC-CM-TECHNICIAN-CERT-RECONCILED-001.md,"DC-CM-TECHNICIAN-CERT-RECONCILED-001 — CivicMesh Technician Certification & Training, Consolidated (v1, generated 2026-09-05)"
DC-CM-TM-ARTICLES-RECONCILED-001.md,"DC-CM-TM-ARTICLES-RECONCILED-001 — CivicMesh & TrafficMesh Articles of Incorporation, Consolidated (v1, generated 2026-09-05)"
DC-CM-TM-GRANT-FUNDING-RECONCILED-001.md,"DC-CM-TM-GRANT-FUNDING-RECONCILED-001 — CivicMesh/TrafficMesh IRAP & SR&ED Funding Documentation, Consolidated (v1, generated 2026-09-05)"
DC-CM-UNIT-ECONOMICS-RECONCILED-001.md,"DC-CM-UNIT-ECONOMICS-RECONCILED-001 — CivicMesh Financial Unit Economics, Consolidated (v1, generated 2026-09-05)"
DC-COMPETITIVE-STRATEGY-RECONCILED-001.md,"DC-COMPETITIVE-STRATEGY-RECONCILED-001 — D-Central Competitive Strategy Analysis, Consolidated (v1, generated 2026-09-05)"
DC-COMPTIA-A-PLATFORM-RECONCILED-001.md,"DC-COMPTIA-A-PLATFORM-RECONCILED-001 — CompTIA A+ Master Learning Platform, Consolidated (v1, generated 2026-09-05)"
DC-COMPUTE-SILICON-ARCH-001.md,"DC-COMPUTE-SILICON-ARCH-001 — Compute Silicon Class Architecture (v1, generated 2026-09-07)"
DC-CS-HOA-DEPLOYMENT-RECONCILED-001.md,"DC-CS-HOA-DEPLOYMENT-RECONCILED-001 — CommunityShield HOA/Condo Deployment Package, Consolidated (v1, generated 2026-09-05)"
DC-DAO-AGENT-LOOP-001.md,DC-DAO-AGENT-LOOP-001: Recursive DAO-Agent Governance — Implementation Spec
DC-DAO-AGENT-LOOP-USER-STORIES-001.md,DC-DAO-AGENT-LOOP-USER-STORIES-001: End-to-End User Stories
DC-DCENTRAL-CORE-NARRATIVE-ANALYSIS-RECONCILED-001.md,"DC-DCENTRAL-CORE-NARRATIVE-ANALYSIS-RECONCILED-001 — D-Central Core Narrative & Critical Analysis, Consolidated (v1, generated 2026-09-05)"
DC-DCENTRAL-PRESENTATION-DECKS-RECONCILED-001.md,"DC-DCENTRAL-PRESENTATION-DECKS-RECONCILED-001 — D-Central/CivicMesh Presentation Decks, Consolidated (v1, generated 2026-09-05)"
DC-DCENTRAL-SIMULATION-LAB-RECONCILED-001.md,"DC-DCENTRAL-SIMULATION-LAB-RECONCILED-001 — D-Central Simulation Lab Programme (DC-SIM Suite), Consolidated (v1, generated 2026-09-05)"
DC-DEV-OS-RECONCILED-001.md,"DC-DEV-OS-RECONCILED-001 — D-Central Ecosystem OS & Developer Platform, Consolidated (v1, generated 2026-09-05)"
DC-DIGITAL-COMMUNITY-PARTICIPATION-PLATFORMS-RECONCILED-001.md,"DC-DIGITAL-COMMUNITY-PARTICIPATION-PLATFORMS-RECONCILED-001 — Digital Community Participation Platforms, Consolidated (v1, generated 2026-09-05)"
DC-DION-API-BACKEND-RECONCILED-001.md,"DC-DION-API-BACKEND-RECONCILED-001 — DION Platform API & Backend Architecture, Consolidated (v1, generated 2026-09-05)"
DC-DION-EXPANSION-EXPLANATION-RECONCILED-001.md,"DC-DION-EXPANSION-EXPLANATION-RECONCILED-001 — Decentralized Intelligence Platform Expansion & Explanation, Consolidated (v1, generated 2026-09-05)"
DC-DION-OPERATOR-DEPLOYMENT-RECONCILED-001.md,"DC-DION-OPERATOR-DEPLOYMENT-RECONCILED-001 — DION Operator Deployment & Vision Companion, Consolidated (v1, generated 2026-09-05)"
DC-DION-PLATFORM-TECHNICAL-ARCHITECTURE-RECONCILED-001.md,"DC-DION-PLATFORM-TECHNICAL-ARCHITECTURE-RECONCILED-001 — DION Platform Technical Architecture & Scaffolding, Consolidated (v1, generated 2026-09-05)"
DC-DION-RECONCILED-001.md,"DC-DION-RECONCILED-001 — D-Central Intelligence & Operator Network (DION), Consolidated (v2, updated 2026-09-04)"
DC-DRONE-HARDWARE-RECONCILED-001.md,"DC-DRONE-HARDWARE-RECONCILED-001 — Haiti Drone Cooperative Hardware Selection, Consolidated (v1, generated 2026-09-05)"
DC-ECONOMIC-CRITIQUES-RECONCILED-001.md,"DC-ECONOMIC-CRITIQUES-RECONCILED-001 — D-Central Expansion Critical Analyses, Consolidated (v1, generated 2026-09-05)"
DC-EXPERT-DAO-001.md,"DC-EXPERT-DAO-001: Credentialed Expert Review, Advisory & Bounty Network"
DC-EXPERT-REVIEW-001.md,"DC-EXPERT-REVIEW-001: Credentialed Sign-Off, Review DAOs & Expert Guilds"
DC-FEDIFLOW-ACADEMIC-RECONCILED-001.md,"DC-FEDIFLOW-ACADEMIC-RECONCILED-001 — FediFlow Academic Institution Services, Consolidated (v1, generated 2026-09-05)"
DC-FLP-SOVEREIGNTY-RECONCILED-001.md,"DC-FLP-SOVEREIGNTY-RECONCILED-001 — Federated Learning Platform: Community Sovereignty & Cooperative Economics, Consolidated (v1, generated 2026-09-05)"
DC-HAITI-COOPERATIVE-RESILIENCE-FRAMEWORK-RECONCILED-001.md,"DC-HAITI-COOPERATIVE-RESILIENCE-FRAMEWORK-RECONCILED-001 — Haiti Cooperative Resilience Framework, Consolidated (v1, generated 2026-09-05)"
